"url","id","label","label_it","label_en","label_de","level"
"461841","46.18.41","Attività di intermediari del commercio all'ingrosso di automobili e autoveicoli leggeri","Attività di intermediari del commercio all'ingrosso di automobili e autoveicoli leggeri","Activities of agents involved in the wholesale of cars and light motor vehicles","Tätigkeiten der Großhandelsvermittlung von Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger","6"
"461842","46.18.42","Attività di intermediari del commercio all'ingrosso di altri autoveicoli","Attività di intermediari del commercio all'ingrosso di altri autoveicoli","Activities of agents involved in the wholesale of other motor vehicles","Tätigkeiten der Großhandelsvermittlung von anderen Kraftfahrzeugen","6"
"461843","46.18.43","Attività di intermediari del commercio all'ingrosso di parti e accessori di autoveicoli","Attività di intermediari del commercio all'ingrosso di parti e accessori di autoveicoli","Activities of agents involved in the wholesale of parts and accessories for motor vehicles","Tätigkeiten der Großhandelsvermittlung von Kraftfahrzeugteilen und -zubehör","6"
"461844","46.18.44","Attività di intermediari del commercio all'ingrosso di motocicli","Attività di intermediari del commercio all'ingrosso di motocicli","Activities of agents involved in the wholesale of motorcycles","Tätigkeiten der Großhandelsvermittlung von Krafträdern","6"
"461845","46.18.45","Attività di intermediari del commercio all'ingrosso di parti e accessori di motocicli","Attività di intermediari del commercio all'ingrosso di parti e accessori di motocicli","Activities of agents involved in the wholesale of parts and accessories for motorcycles","Tätigkeiten der Großhandelsvermittlung von Kraftradteilen und -zubehör","6"
"461846","46.18.46","Attività di intermediari del commercio all'ingrosso di materiale rotabile e di parti e accessori per materiale rotabile","Attività di intermediari del commercio all'ingrosso di materiale rotabile e di parti e accessori per materiale rotabile","Activities of agents involved in the wholesale of rolling stock and parts and accessories for rolling stock","Tätigkeiten der Großhandelsvermittlung von Schienenfahrzeugen und Schienenfahrzeugteilen und -zubehör","6"
"46185","46.18.5","Attività di intermediari del commercio all'ingrosso di apparecchiature audio e video","Attività di intermediari del commercio all'ingrosso di apparecchiature audio e video","Activities of agents involved in the wholesale of audio and video equipment","Tätigkeiten der Großhandelsvermittlung von Ton- und Videogeräten","5"
"461850","46.18.50","Attività di intermediari del commercio all'ingrosso di apparecchiature audio e video","Attività di intermediari del commercio all'ingrosso di apparecchiature audio e video","Activities of agents involved in the wholesale of audio and video equipment","Tätigkeiten der Großhandelsvermittlung von Ton- und Videogeräten","6"
"46189","46.18.9","Attività di intermediari del commercio all'ingrosso di altri prodotti specifici n.c.a.","Attività di intermediari del commercio all'ingrosso di altri prodotti specifici n.c.a.","Activities of agents involved in the wholesale of other particular products n.e.c.","Tätigkeiten der Großhandelsvermittlung von sonstigen Waren a. n. g.","5"
"461891","46.18.91","Attività di intermediari del commercio all'ingrosso di rifiuti","Attività di intermediari del commercio all'ingrosso di rifiuti","Activities of agents involved in the wholesale of waste","Tätigkeiten der Großhandelsvermittlung von Abfällen","6"
